Mag_AB	SNR	zodi	Filt	time
  20.50   50.0  2.0  F087         37
  20.50   50.0  2.0  F106         37
  20.50   50.0  2.0  F129         37
  20.50   50.0  2.0  F158         37
  20.50   50.0  2.0  F184         55
  20.50   50.0  2.0  F146         19
  20.50   50.0  2.0  F213         92
  20.50   50.0  3.0  F062         28
  20.50   50.0  3.0  F087         37
  20.50   50.0  3.0  F106         37
  20.50   50.0  3.0  F129         37
  20.50   50.0  3.0  F158         37
  20.50   50.0  3.0  F184         55
  20.50   50.0  3.0  F146         19
  20.50   50.0  3.0  F213         92
  20.60    5.0  1.4  F062         10
  20.60    5.0  1.4  F087         10
  20.60    5.0  1.4  F106         10
  20.60    5.0  1.4  F129         10
  20.60    5.0  1.4  F158         10
  20.60    5.0  1.4  F184         10
  20.60    5.0  1.4  F146         10
  20.60    5.0  1.4  F213         10
  20.60    5.0  2.0  F062         10
  20.60    5.0  2.0  F087         10
  20.60    5.0  2.0  F106         10
  20.60    5.0  2.0  F129         10
  20.60    5.0  2.0  F158         10
  20.60    5.0  2.0  F184         10
  20.60    5.0  2.0  F146         10
  20.60    5.0  2.0  F213         10
  20.60    5.0  3.0  F062         10
  20.60    5.0  3.0  F087         10
  20.60    5.0  3.0  F106         10
  20.60    5.0  3.0  F129         10
  20.60    5.0  3.0  F158         10
  20.60    5.0  3.0  F184         10
  20.60    5.0  3.0  F146         10
  20.60    5.0  3.0  F213         10
  20.60   10.0  1.4  F062         10
  20.60   10.0  1.4  F087         10
  20.60   10.0  1.4  F106         10
  20.60   10.0  1.4  F129         10
  20.60   10.0  1.4  F158         10
  20.60   10.0  1.4  F184         10
  20.60   10.0  1.4  F146         10
  20.60   10.0  1.4  F213         19
  20.60   10.0  2.0  F062         10
  20.60   10.0  2.0  F087         10
  20.60   10.0  2.0  F106         10
  20.60   10.0  2.0  F129         10
  20.60   10.0  2.0  F158         10
  20.60   10.0  2.0  F184         10
  20.60   10.0  2.0  F146         10
  20.60   10.0  2.0  F213         19
  20.60   10.0  3.0  F062         10
  20.60   10.0  3.0  F087         10
  20.60   10.0  3.0  F106         10
  20.60   10.0  3.0  F129         10
  20.60   10.0  3.0  F158         10
  20.60   10.0  3.0  F184         10
  20.60   10.0  3.0  F146         10
  20.60   10.0  3.0  F213         19
  20.60   15.0  1.4  F062         10
  20.60   15.0  1.4  F087         10
  20.60   15.0  1.4  F106         10
